TF,context,n_mito_total,n_oxphos,n_mitoribo,n_apoptosis_pro,n_apoptosis_anti,apop_balance,apoptosis_pro_genes,apoptosis_anti_genes,n_metab_other,k,frac,hyperg_p,bh_fdr
TEAD4,BA_LE,68,16,12,0,0,0,,,40,516,0.13178294573643412,7.694174786009138e-13,2.194864596851028e-11
CEBPG,BA_LE,36,4,9,0,0,0,,,23,180,0.2,1.5963212037406728e-12,4.494577103519193e-11
MAZ,BA_LE,57,7,11,1,0,1,Bid,,38,400,0.1425,2.4110418663806347e-12,6.701459956811816e-11
ZNF263,AP_LE,44,17,7,0,0,0,,,20,261,0.1685823754789272,2.7567652989442787e-12,7.565401478621768e-11
ZNF749,BA_LE,31,6,13,0,0,0,,,12,139,0.22302158273381295,2.835525836549015e-12,7.684275017047832e-11
DMTF1,BA_LE,25,4,11,0,0,0,,,10,92,0.2717391304347826,3.468321655249053e-12,9.283112776024627e-11
POU5F1B,BA_LE,27,13,7,0,0,0,,,7,108,0.25,4.14258873600784e-12,1.0952600463006093e-10
TBP,AP_LE,48,19,12,1,0,1,Bak1,,16,307,0.1563517915309446,4.742742606176635e-12,1.2388272253242103e-10
SNAPC5,HS_LE,15,10,2,0,0,0,,,3,31,0.4838709677419355,5.650542551836208e-12,1.4583781252834403e-10
TTF1,AP_LE,25,14,8,0,0,0,,,3,95,0.2631578947368421,7.56546643085634e-12,1.9296389673054761e-10
HES1,AP_LE,27,20,3,0,0,0,,,4,111,0.24324324324324326,8.317618513839425e-12,2.0968135974423108e-10
ZNF581,BA_LE,30,4,14,1,0,1,Bak1,,11,136,0.22058823529411764,8.570988848471286e-12,2.1358510141937643e-10
ZBTB11,AP_LE,33,11,5,0,0,0,,,17,166,0.19879518072289157,1.6101195012269544e-11,3.9667489530227695e-10
SREBF2,BA_LE,46,7,13,0,0,0,,,26,300,0.15333333333333332,2.6351861947680235e-11,6.419195135120309e-10
E2F1,AP_LE,70,22,11,1,0,1,Bak1,,36,587,0.11925042589437819,3.910328121113914e-11,9.419545962861072e-10
CREB3,BA_LE,34,7,11,1,0,1,Bid,,15,182,0.18681318681318682,4.7930006899064637e-11,1.1418929116172762e-9
PPARG,BA_LE,54,10,8,1,0,1,Bid,,35,398,0.135678391959799,6.205494638743906e-11,1.462338301825738e-9
KLF1,AP_LE,44,8,9,1,0,1,Bak1,,26,286,0.15384615384615385,6.390470755164376e-11,1.4897355480856308e-9
ELK1,AP_LE,48,13,11,1,0,1,Bak1,,23,332,0.14457831325301204,8.030166038401652e-11,1.8415449378809197e-9
ZBTB33,BA_LE,44,7,6,0,0,0,,,31,288,0.1527777777777778,8.069500419681152e-11,1.8415449378809197e-9
CEBPZ,BA_LE,45,10,11,0,0,0,,,24,299,0.1505016722408027,8.19049367730186e-11,1.84968648879067e-9
PBX3,BA_LE,54,10,15,0,0,0,,,29,403,0.13399503722084366,9.989124140704015e-11,2.2326207357779693e-9
REXO4,BA_LE,27,2,9,0,0,0,,,16,123,0.21951219512195122,1.0600276008960944e-10,2.3450406517782987e-9
GABPA,AP_LE,50,16,13,1,0,1,Bak1,,20,359,0.1392757660167131,1.2583850674316941e-10,2.7557361880726394e-9
GATA2,BA_LE,54,6,9,1,0,1,Bid,,38,406,0.1330049261083744,1.3230341004960617e-10,2.8683379298754615e-9
E2F6,BA_LE,55,5,12,1,0,1,Bid,,37,422,0.13033175355450238,1.9338765615685258e-10,4.151133054931252e-9
FOXA2,BA_LE,55,12,14,0,0,0,,,29,425,0.12941176470588237,2.5295747039847386e-10,5.376586233567562e-9
MAFF,AP_LE,41,17,9,0,0,0,,,15,266,0.15413533834586465,2.706950783605806e-10,5.697737183356687e-9
ZNF3,AP_LE,23,11,4,0,0,0,,,8,96,0.23958333333333334,4.030482722228938e-10,8.40200629018494e-9
NR2F2,BA_LE,45,8,11,0,0,0,,,26,314,0.14331210191082802,4.2059695283664725e-10,8.684325654760488e-9
TFAP2C,BA_LE,56,12,8,0,0,0,,,36,445,0.1258426966292135,5.036693003407379e-10,1.0301462671119999e-8
SMYD3,BA_LE,20,9,6,0,0,0,,,5,77,0.2597402597402597,1.2074673311330363e-9,2.446531938220956e-8
MYCN,BA_LE,57,3,14,1,0,1,Bak1,,39,468,0.12179487179487179,1.2190102126467559e-9,2.4470501305723765e-8
ATF1,AP_LE,42,14,10,1,0,1,Bak1,,17,292,0.14383561643835616,1.4409337558686407e-9,2.8660040208469846e-8
SPEN,AP_LE,18,14,3,0,0,0,,,1,63,0.2857142857142857,1.5157469783476826e-9,2.987399499143433e-8
MYBL2,AP_LE,57,16,14,0,0,0,,,27,471,0.12101910828025478,1.5489719191736312e-9,3.025379388079669e-8
THAP7,AP_LE,24,5,7,0,0,0,,,12,111,0.21621621621621623,1.5908892859615082e-9,3.079507117825491e-8
ZNF384,AP_LE,39,15,8,1,0,1,Bak1,,15,260,0.15,1.6480875964704184e-9,3.161994609865369e-8
GATA3,BA_LE,48,8,6,0,0,0,,,34,363,0.1322314049586777,1.731947665911743e-9,3.29373906990935e-8
POU5F1,BA_LE,59,8,13,0,0,0,,,38,498,0.11847389558232932,1.7995789780502148e-9,3.392597586445971e-8
